participant_id,edf_file,trial_n,Soa,block_n,tar_choice,P,win,block_score,total_score,prob_1,prob_2,img_1,img_2,sacOnset,sacOffset,sacDur,sacVPeak,sacDist,sacAngle1,sacAmp,sacAngle2,sacxOnset,sacyOnset,sacxOffset,sacyOffset,sacRT,sacChoice
AA03S3,AA03S3.edf,11,411,3,11,1,0.75,1,5,0,0.25,0.75,x.png,3282,3325,44,342.036088663893,5.78108671251533,0.0132395212957299,6.22995311720367,0.0546277592603322,-0.0603251298889518,-0.0714864735491574,5.7914754152298,0.0395968770608306,2861,2
AA03S3,AA03S3.edf,12,431,3,12,NaN,-1,-1,5,0,0.25,0.75,x.png,3749,3791,43,401.608623039953,6.17188202725265,-0.00620035951565228,6.46468051226677,-0.0342083082215555,0.195857454091311,-0.167156236246228,6.35752105712891,-0.190010771155357,3309,2
AA03S3,AA03S3.edf,13,230,3,13,1,0.75,0,5,0,0.25,0.75,x.png,1477,1515,39,344.006384708219,4.67652285930315,0.111611060384063,5.12002335932832,0.129917419032845,1.08080241084099,-0.334312792867422,5.74071729183197,0.161841249093413,1235,2
AA03S3,AA03S3.edf,14,351,3,14,1,0.75,1,6,0,0.75,0.25,b.png,805,861,57,365.586343434324,6.26619857596099,3.02973661154528,6.48950256778935,3.00984202257917,-0.287009118124843,-0.344676759094,-6.45133084058762,0.335375532507896,444,1
AA03S3,AA03S3.edf,15,480,3,15,1,0.75,1,7,0,0.75,0.25,b.png,1998,2043,46,291.383153900388,5.02472161141432,3.09588097913963,5.17658633544228,3.06100922934242,-0.0807878621853888,-0.20436162315309,-5.10531038045883,0.0398625624366105,1508,1
AA03S3,AA03S3.edf,16,471,3,16,1,0.75,1,8,0,0.75,0.25,b.png,2734,2792,59,296.705663110578,6.03529180352571,-3.08978715636145,6.20957616832943,-3.04798808938844,0.201703809201717,-0.30401698127389,-5.76755779981613,-0.597404472529888,2253,1
AA03S3,AA03S3.edf,17,250,3,17,1,0.75,1,9,0,0.25,0.75,x.png,1289,1347,59,366.68193944284,6.39335422851493,-0.0286015660223542,6.64200016379329,-0.0724020305800863,0.203032391145825,-0.406596641987562,6.5254744887352,-0.571626596152782,1029,2
AA03S3,AA03S3.edf,18,360,3,18,1,0.75,1,10,0,0.75,0.25,b.png,923,967,45,316.732029830589,5.8402162775622,3.11392296259084,6.26756972736423,3.07743871729192,-0.00930106500163674,-0.441675588488579,-5.87864089012146,-0.265217641368508,553,1
AA03S3,AA03S3.edf,19,390,3,19,1,0.75,1,11,0,0.25,0.75,x.png,982,1013,32,314.706161698165,5.2850178198741,0.0269552827092807,5.2879931526599,0.0430318095468119,0.671548269689083,-0.304017465561628,5.89299148321152,-0.154666144400835,582,2
AA03S3,AA03S3.edf,20,200,3,20,1,0.75,1,12,0,0.75,0.25,b.png,1105,1153,49,241.351291710868,5.96489757516534,3.09773927496891,6.24766758127517,3.0792798055099,0.146428144886158,-0.256182257086039,-5.80901461839676,-0.0164766531670466,892,1
AA03S3,AA03S3.edf,1,200,3,1,1,0.75,1,1,12,0.25,0.75,w.png,1079,1112,34,299.452012053906,4.84952780808614,0.0425369169647139,4.85174179564029,0.0521686201279663,-0.0231200624257326,-1.17089167237282,4.7470805644989,-1.01091054081917,871,2
AA03S3,AA03S3.edf,2,200,3,2,2,0.25,0,1,12,0.75,0.25,k.png,2815,2853,39,370.986999479221,6.30050101631018,0.0665231169984052,6.31252430946888,0.0907207607974752,0.247678088024259,-0.731342196464539,6.46275770664215,-0.30348576977849,2604,2
AA03S3,AA03S3.edf,3,220,3,3,1,0.75,1,2,12,0.25,0.75,w.png,1785,1830,46,366.860358614888,6.19359597600979,0.0473871491856818,6.48422476081823,0.0922627447720014,0.197451723739505,-0.680849850177765,6.36389911174774,-0.356369957327843,1555,2
AA03S3,AA03S3.edf,4,401,3,4,1,0.75,0,2,12,0.75,0.25,k.png,1828,1877,50,160.5375939066,3.28549827438473,3.05802175034833,3.52306102862515,3.04246427331303,-0.124370655976236,-0.666499294340611,-3.41169005632401,-0.378958806395531,1418,1
AA03S3,AA03S3.edf,5,310,3,5,NaN,-1,-1,2,12,0.75,0.25,k.png,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
AA03S3,AA03S3.edf,6,340,3,6,1,0.75,1,3,12,0.75,0.25,k.png,597,632,36,329.449940824296,7.39231574193732,3.09297001139019,7.39348931923357,3.08981059233387,0.0783958930405788,-0.412176992744207,-7.1558324098587,-0.0597936008125544,249,1
AA03S3,AA03S3.edf,7,450,3,7,1,0.75,1,4,12,0.25,0.75,w.png,885,917,33,396.893064621104,5.7389100669312,0.113602626883794,5.74917093634817,0.128299473449492,0.229076122865081,-0.652149096131325,5.84409391880035,-0.00478345534065738,425,2
AA03S3,AA03S3.edf,8,400,3,8,1,0.75,1,5,12,0.75,0.25,k.png,843,894,52,372.278545281193,6.24627171617974,3.0276655158272,6.64730073393242,3.02652043700042,-0.625839844346046,-0.360621884465218,-6.76411801576614,0.342284951359034,433,1
AA03S3,AA03S3.edf,9,360,3,9,2,0.25,1,6,12,0.75,0.25,k.png,2522,2569,48,273.921639016199,5.63630936448483,0.0622776245851652,6.01646307882791,0.0749832177147633,0.29391853697598,-0.579864911735058,5.86694794893265,-0.257245482876897,2152,2
